"id_rte500","num_route","longueur(m)","prD","depPrD","concessionPrD","absD","cumulD","xD","yD","xD_Lamb","yD_Lamb","zD","prF","depPrF","concessionPrF","absF","cumulF","xF","yF","xF_Lamb","yF_Lamb","zF","cote","NumVoie","Dept","acces","res_vert","sens","res_europe","class_adm","S_Theorique","Classe-Etat","Classe-Etat_lib","Descriptif","","longueur (m)"
"BDCTRORO0000000020297512","N004","","","","","","","2.603492","48.775548","670861.6","6852901.2","","","","","","","2.607818","48.774799","671179.1","6852816.3","","","","","Libre","Appartient","Double sens","","Nationale","","","","","","330"
"BDCTRORO0000000020297512","N004","200","2","77","N","-499","200","2.60498","48.77521","670970.74","6852863.09","0","2","77","N","-299","400","2.60768","48.774712","671168.87","6852806.7","0","I","1","77","Libre","Appartient","Double sens","","Nationale","1400","nd","Non determine","Etat de la chaussee non determine","","330"
"BDCTRORO0000000020297512","N004","299","2","77","N","-299","400","2.60768","48.774712","671168.87","6852806.7","0","2","77","N","0","699","2.611719","48.773973","671465.3","6852723.09","0","I","1","77","Libre","Appartient","Double sens","","Nationale","1047","nd","Non determine","Etat de la chaussee non determine","","330"
"BDCTRORO0000000020297525","N004","","","","","","","2.607818","48.774799","671179.1","6852816.3","","","","","","","2.609271","48.774543","671285.7","6852787.3","","","","","Libre","Appartient","Double sens","","Nationale","","","","","","110"
"BDCTRORO0000000020297526","N004","","","","","","","2.609271","48.774543","671285.7","6852787.3","","","","","","","2.612181","48.77403","671499.3","6852729.2","","","","","Libre","Appartient","Double sens","","Nationale","","","","","","220"
"BDCTRORO0000000020297526","N004","152","2","77","N","0","699","2.611719","48.773973","671465.3","6852723.09","0","2","77","N","152","851","2.613709","48.773604","671611.32","6852681.28","0","I","1","77","Libre","Appartient","Double sens","","Nationale","532","nd","Non determine","Etat de la chaussee non determine","","220"
"BDCTRORO0000000020297528","N004","","","","","","","2.612181","48.77403","671499.3","6852729.2","","","","","","","2.612683","48.773941","671536.1","6852719.2","","","","","Libre","Appartient","Double sens","","Nationale","","","","","","40"
"BDCTRORO0000000020297524","N004","","","","","","","2.612683","48.773941","671536.1","6852719.2","","","","","","","2.614906","48.773542","671699.3","6852674","","","","","Libre","Appartient","Double sens","","Nationale","","","","","","170"
"BDCTRORO0000000020297524","N004","200","2","77","N","152","851","2.613709","48.773604","671611.32","6852681.28","0","2","77","N","352","1051","2.616285","48.773098","671800.39","6852624.12","0","D","1","77","Libre","Appartient","Double sens","","Nationale","2100","EM","Etat moyen","Chaussees necessitant un entretien de surface generalise","","170"
"BDCTRORO0000000020297523","N004","","","","","","","2.614906","48.773542","671699.3","6852674","","","","","","","2.616371","48.773281","671806.8","6852644.5","","","","","Libre","Appartient","Double sens","","Nationale","","","","","","110"
"BDCTRORO0000000020297523","N004","200","2","77","N","352","1051","2.616285","48.773098","671800.39","6852624.12","0","2","77","N","552","1251","2.618884","48.772629","671991.11","6852571.11","0","D","1","77","Libre","Appartient","Double sens","","Nationale","1400","EM","Etat moyen","Chaussees necessitant un entretien de surface generalise","","110"
